brand,make,year,price,km,cm3
Opel,Astra,2010,6850,130000,1398
Peugeot,307,2004,800,220000,1600
Škoda,Octavia,2007,3990,278000,1900
Mercedes,A 160,2005,2950,160000,1991
Renault,Modus,2005,2550,95000,1149
Mercedes,C 200,2003,3499,108480,1796
Opel,Astra,2001,1999,192000,1990
Renault,Megane,2014,6100,151000,1500
Opel,Insignia,2013,5900,257000,1956
Toyota,Yaris,2019,10250,13024,998
BMW,116,2015,14950,59566,1496
Peugeot,207,2006,3450,130000,1360
Opel,Corsa,2006,3099,170000,1248
Ford,Focus,2002,650,200000,1798
Fiat,Doblo,2017,8200,64000,1248
Volvo,V50,2006,2450,170000,1994
Audi,A4,2009,7850,208000,1968
Opel,Insignia,2009,5900,195500,1998
Honda,Civic,2006,4990,215000,1339
BMW,116,2010,6850,186000,1995
Opel,Astra,2010,5500,68100,1398
Opel,Corsa,2009,4190,99422,1200
Opel,Astra,2013,6850,84000,1686
Citroen,C5,2006,2390,173410,1560
Renault,Laguna,2013,6590,157799,1461
Peugeot,207,2011,3900,180000,1560
VW,Tiguan,2009,8850,188000,1968
VW,Passat,2008,4499,269089,1968
Citroen,C4,2006,2450,177000,1596
Audi,A4,2007,6190,347000,1896
Peugeot,308,2015,7750,112000,1560
Nissan,Qashqai,2008,6500,161000,1995
Renault,Scenic,2010,4990,162506,1870
Audi,A4,2001,2599,230000,1896
Ford,Mondeo,2015,10199,155000,1997
Fiat,Panda,2013,5600,189000,1248
Ford,Fiesta,2009,4950,125000,1242
Opel,Corsa,2013,5500,48125,1229
Peugeot,308,2008,3500,181000,1600
Škoda,Octavia,2015,11499,186194,1598
Mazda,RX_8,2003,4450,211640,1308
Toyota,Yaris,2019,9990,17448,998
Peugeot,208,2016,6450,160000,1560
Citroen,C4 Cactus,2015,7500,70290,1199
Škoda,Octavia,2014,9799,193769,1598
Renault,Megane,2007,2200,151789,1598
Citroen,Jumpy,2012,4650,120000,1600
Audi,A4,2004,5190,176361,1968
BMW,320,2002,1900,245000,1956
Renault,Megane,2014,6350,101000,1461
Škoda,Octavia,2014,10499,186965,1968
VW,Golf 5,2005,4050,138000,1400
Opel,Meriva,2006,2400,175213,1596
Ford,Fiesta,2009,4250,150000,1596
Kia,Ceed,2009,3950,142304,1582
Audi,A3,2011,7900,192000,1588
Opel,Meriva,2009,3350,133201,1700
Chevrolet,Trax,2014,10490,112000,1686
BMW,218 Active Tourer,2015,14800,204000,1995
Audi,A3,2015,11499,170303,1968
Mercedes,A 180,2008,4390,154245,1991
VW,Sharan,2011,9850,218255,2000
Renault,Kangoo,2016,5990,169000,1461
Opel,Astra,2008,4250,156000,1248
Peugeot,Partner,2014,5990,160653,1560
Fiat,Doblo,2017,8990,135000,1598
Volvo,XC 60,2014,16999,157528,1969
Renault,Kangoo,2016,7700,147000,1461
Renault,Kangoo,2013,5700,165000,1461
Citroen,C4,2017,8150,146000,1560
Audi,A4,2005,3900,189000,1968
Seat,Altea XL,2014,8300,184000,1598
Opel,Insignia,2014,8990,193869,1956
Citroen,Jumper,2013,7650,175000,2200
Volvo,XC 60,2014,20399,138158,1969
Citroen,C5,2012,8299,168000,1998
Renault,Kangoo,2013,6600,161000,1461
Renault,Kangoo,2014,6300,185000,1461
Citroen,C5,2009,6150,189000,1997
Fiat,500,2017,10990,31000,875
Ford,Focus,2009,2999,223000,1560
Volvo,XC 60,2015,21999,147304,1969
Renault,Kangoo,2013,5900,108000,1461
Renault,Grand Scenic,2007,2990,185705,1870
Mercedes,ML 250,2014,26199,215987,2143
VW,Touran,2011,7500,189288,1598
Opel,Adam,2013,7700,48000,1388
Citroen,C5,2008,4690,191560,1997
Ford,Fiesta,2002,1650,167000,1389
Seat,Altea,2005,2890,162358,1896
Fiat,Croma,2006,2100,173695,1910
Audi,A4,2005,3450,307000,2496
Ford,Fiesta,2006,2550,215000,1399
Opel,Corsa,2018,7500,7750,1398
Škoda,Octavia,2010,5650,187635,1896
Fiat,500,2007,4590,147102,1248
Volvo,XC 60,2014,14999,138000,2400
Fiat,Grande Punto,2009,3650,116833,1248
VW,Golf 4,2004,2950,191652,1896
Fiat,500L,2014,6899,167491,1598
VW,Golf 5,2005,3950,192559,1896
Peugeot,407,2005,2950,168695,1560
BMW,525,2013,18600,154000,1995
Mercedes,B 180,2013,11399,182955,1461
Fiat,Punto,2004,2100,157000,1242
Renault,Laguna,2013,9500,130594,1995
Citroen,BX,1989,400,170000,1600
Renault,Grand Scenic,2011,5500,217418,1461
Mercedes,C 200,2009,6950,159931,2148
Peugeot,307,2001,1600,174212,1998
Renault,Scenic,2008,3650,184000,1860
BMW,525,2007,8000,280000,2499
Fiat,Grande Punto,2013,4690,104000,1250
Opel,Corsa,2005,1700,199205,1299
Renault,Megane,2008,2950,191707,1461
Lada,Niva,2000,2200,135000,1689
Fiat,500L,2014,7499,159193,1248
VW,Touareg,2013,21499,142759,2967
Ford,Fiesta,2004,1950,164572,1399
Renault,Clio,2002,1000,250000,1500
Renault,Laguna,2008,4350,206000,1995
Fiat,500,2008,4950,132735,1248
Opel,Astra,2010,5690,160388,1686
BMW,320,2009,7450,219619,1995
BMW,525,2012,14999,194132,1995
Chevrolet,Captiva,2008,4800,189000,1991
Mazda,CX_7,2009,7500,197000,2184
Opel,Astra,2010,5750,185000,1686
VW,Passat,2009,5390,180657,1968
VW,Polo,2003,2100,149000,1390
VW,Bora,2005,3350,192613,1896
Peugeot,206,2001,1400,198000,1587
Škoda,Octavia,2011,7500,320000,1968
Ford,Fiesta,2005,1600,128000,1248
Ford,Focus,2009,3950,152036,1560
Opel,Insignia,2009,6650,164233,1956
Peugeot,207,2006,2899,150000,1360
Hyundai,Santa Fe,2002,4750,156000,1997
Audi,A5,2013,17799,156109,1968
VW,Golf 5,2008,4850,195000,1896
Mercedes,GLK 200,2014,16950,130071,2143
Chevrolet,Spark,2011,2330,152000,1206
Fiat,Punto,2013,5500,129700,1368
Ford,Mondeo,2013,11500,151500,1997
Hyundai,Tucson,2008,5950,178004,1991
Peugeot,308,2013,4890,179000,1560
Opel,Astra,1996,790,200000,1700
Opel,Mokka,2015,10380,83500,1598
VW,Touran,2006,2750,186000,1997
BMW,320,2004,3250,185670,1995
VW,Fox,2005,1999,165000,1398
Fiat,Punto,2004,1500,179000,1200
Mazda,2,2008,3499,176000,1398
Mitsubishi,Colt,2006,2480,127000,1124
Citroen,C4 Picasso,2007,3850,167000,1560
Fiat,Croma,2005,3640,91500,2198
Mercedes,A 170,2002,1300,246000,1689
Opel,Zafira,2011,4670,147000,1680
Peugeot,306,2001,950,203346,1868
Škoda,Fabia,2003,1300,200000,1200
Ford,Focus,2005,1899,96000,1399
Škoda,Yeti,2009,5510,221000,1968
Citroen,Berlingo,2003,2250,186000,1390
Renault,Megane,2003,1150,244000,1461
VW,Polo,2001,1599,106000,1398
VW,Touareg,2005,6500,267037,2496
Fiat,Grande Punto,2006,2600,213000,1248
Opel,Astra,2006,2950,179000,1398
Ford,Fiesta,2006,1999,167000,1598
Renault,Clio,2005,1400,180000,1461
Audi,A4,2003,2999,220000,1598
Audi,A3,2006,4300,178448,1598
Fiat,Croma,2007,3090,91000,2198
Opel,Mokka,2014,11240,74000,1686
Seat,Ibiza,2004,1480,260000,1390
Opel,Zafira,2013,7520,168813,1956
Škoda,Octavia,2011,7000,219000,1968
Seat,Altea XL,2010,4999,145000,1598
Škoda,Octavia,2016,11120,112120,1598
Ford,Fusion,2004,2290,133000,1399
Opel,Vectra,2006,3800,227010,1910
VW,Touareg,2005,6500,267037,2496
BMW,316,1992,750,345000,1596
Škoda,Octavia,2015,9250,102000,1598
Opel,Astra,2004,2100,175000,1686
Fiat,Croma,2006,2800,145000,2196
Renault,Megane,2017,11120,133143,1461
Peugeot,3008,2010,6300,207000,1997
Suzuki,Alto,2009,2780,178900,996
Citroen,C4 Grand Picasso,2007,3600,193470,1997
Peugeot,308,2015,7990,142003,1560
Fiat,500L,2013,7500,110000,1300
Fiat,Punto,2011,1780,280000,1242
Mercedes,A 170,2003,2190,180000,1689
Renault,Clio,2006,2499,180237,1461
Land Rover,Range Rover Sport,2005,8500,225000,2698
Fiat,Grande Punto,2009,2999,150258,1368
Opel,GT,2008,15500,5395,1998
Land Rover,Freelander,2011,7900,149000,2198
Renault,Scenic,2004,1749,117000,1870
Lada,Niva,2001,1499,133553,1689
Opel,Astra,2005,2899,177415,1598
VW,Polo,2008,3499,155153,1198
Audi,A7,2011,18500,110500,2995
Citroen,C3 Picasso,2012,4899,180144,1560
Peugeot,Bipper,2010,4399,170302,1390
Citroen,Berlingo,2008,4199,189696,1560
Ford,Focus,2008,3299,237964,1560
VW,Caddy,2011,7499,185217,1598
Renault,Clio,2005,1450,186890,1461
Renault,Scenic,2010,4899,187505,1461
Ford,Fiesta,2008,2999,157459,1299
BMW,750,2010,14900,215000,4398
Renault,Clio,2010,4199,135985,1149
Renault,Kangoo,2006,2899,160117,1461
Peugeot,207,2008,3399,132068,1397
Jeep,Grand Cherokee,2011,14900,175500,2998
Ford,Galaxy,2008,5599,226432,1997
Opel,Corsa,2002,1099,133439,973
Volvo,S80,2007,7900,104500,2400
Renault,Scenic,2012,5890,169800,1461
Renault,Scenic,2008,2300,163000,1997
Renault,Clio,2008,3499,110525,1149
VW,Passat,2006,4799,244378,1968
Peugeot,508,2015,13950,109183,1997
Audi,A3,2006,4699,195224,1968
Opel,Corsa,2008,3799,164570,1229
Citroen,C4 Grand Picasso,2008,3799,191586,1997
Opel,Corsa,2009,3799,165271,998
Renault,Grand Modus,2008,3399,116728,1149
Audi,A6,2007,4900,165000,2698
Renault,Scenic,2005,2200,200861,1598
VW,Sharan,2011,9800,275190,1968
Mercedes,B 170,2006,4599,199306,1699
Audi,A3,2008,4899,192728,1968
Lancia,Ypsilon,2006,2150,127000,1242
VW,Passat,2006,4999,272380,1968
Audi,A5,2008,8900,187500,2698
Infiniti,FX,2005,3500,153500,3498
Fiat,Stilo,2004,1199,188079,1910
VW,Touran,2008,4399,224172,1390
Renault,Megane,2001,999,242205,1390
Renault,Megane,2009,4699,141312,1461
VW,Touran,2007,4599,241597,1896
Renault,Laguna,2008,5900,135000,1998
Citroen,C4 Grand Picasso,2008,2799,268540,1560
VW,Polo,2007,2999,135277,1198
Mercedes,B 180,2008,4799,226086,1991
Peugeot,5008,2010,6299,200207,1560
BMW,518,2015,16900,162500,1995
VW,Golf 5,2008,3799,188554,1896
VW,Polo,2010,4899,101249,1198
Dodge,Caliber,2010,7900,140500,2359
Opel,Astra,2004,3299,176277,1364
BMW,320,2008,6999,223717,1995
Peugeot,308,2007,4499,150199,1598
Citroen,C5,2009,4999,220000,1560
Renault,Modus,2005,2499,131227,1149
Opel,Astra,2011,5999,160258,1248
Opel,Astra,2016,11500,104000,1598
VW,Touareg,2007,7000,179000,2461
Toyota,Auris,2008,4700,136100,1398
Saab,9_3,2006,3500,164000,1910
Nissan,Qashqai,2011,6550,172358,1461
Citroen,C4 Picasso,2008,2990,162000,1560
Audi,A4,2012,12390,112958,1968
Opel,Astra,2007,1999,205000,1686
Toyota,Auris,2011,6350,119000,1329
Opel,Astra,2005,2999,191953,1364
Renault,Espace,2003,1550,200000,1870
Alfa Romeo,156,2002,500,320,1910
Opel,Mokka,2015,9430,113200,1598
Fiat,Bravo,2012,6250,57500,1368
VW,Passat,2007,4650,211000,1968
Fiat,Bravo,2008,3630,104000,1368
Renault,Clio,2008,2999,124258,1149
Audi,A4,2006,5999,188915,1968
Ford,Galaxy,2002,1850,243000,1900
Fiat,Multipla,2005,2550,139528,1596
Audi,TT,2004,4699,129067,1781
VW,Tiguan,2016,18450,145015,1968
MINI,One,2002,1999,126000,1598
VW,Passat,2006,5800,230000,1896
Fiat,Bravo,2008,2710,174000,1910
Porsche,Cayenne,2011,31990,185000,2967
Opel,Antara,2007,3810,145670,1991
Peugeot,308,2009,4949,178581,1598
Opel,Astra,2001,650,230000,1700
Renault,Clio,2006,2800,190000,1149
VW,Golf 5,2006,3990,180000,1600
Fiat,Punto,2004,1800,181000,1242
Nissan,Almera,2001,1150,240000,1753
Fiat,Bravo,2008,2150,168500,1910
VW,Golf 4,2001,2000,118000,1399
VW,Touran,2004,2490,189000,1989
Opel,Zafira,2010,3700,216000,1910
Toyota,RAV4,2011,10790,150000,2231
Mazda,6,2014,14990,164000,2180
Peugeot,3008,2014,8999,118000,1560
VW,Golf 2,1985,400,250000,1595
Opel,Corsa,2002,1680,196333,1690
Opel,Astra,2006,2950,229532,1910
Peugeot,206,2004,1950,168486,1398
Renault,Scenic,2001,1300,184000,2000
Nissan,Qashqai,2017,13950,149742,1598
Mercedes,C 220,2009,6500,196000,2148
VW,Golf 7,2014,10200,174500,1598
Škoda,Superb,2014,9500,226000,2000
Fiat,Bravo,2008,2990,156000,1368
Škoda,Yeti,2011,7490,155000,1968
Nissan,Qashqai,2017,16450,164930,1598
Opel,Insignia,2010,7430,99234,1956
Opel,Insignia,2010,5240,131200,1998
Peugeot,206,2004,1800,180,1360
Seat,Leon,2007,3690,199284,1896
Renault,Clio,2003,1850,295294,1461
Peugeot,307,2003,1950,210000,1997
Opel,Astra,2014,8100,20200,1398
Toyota,Corolla,2004,3050,199260,1995
Renault,Espace,2007,2399,303000,1998
Opel,Astra,2002,1650,201000,1997
Peugeot,206,2004,1750,170000,1400
Renault,Grand Scenic,2013,7450,185185,1461
Seat,Ibiza,1998,1390,198500,1984
Renault,Scenic,2001,1450,187000,1900
Renault,Espace,2004,1950,270000,1900
Opel,Astra,2007,3100,218000,1910
Opel,Astra,2000,899,200000,1686
Peugeot,307,2003,1350,155000,1598
Audi,A3,2004,3550,235450,1968
Peugeot,407,2005,3450,198643,1560
Renault,Espace,2006,3450,189135,1870
Honda,CR_V,2011,10500,186398,2000
VW,Passat,2011,8250,214000,1600
Audi,Q7,2006,10500,186709,2967
Seat,Leon,2001,2050,227473,1900
Ford,Fiesta,2007,2750,228703,1596
Škoda,Octavia,2003,1600,305000,1896
VW,Golf 5,2004,3550,249526,1390
Citroen,C4,2010,3890,140880,1560
Renault,Laguna,2006,2250,197120,1900
Fiat,Grande Punto,2006,2850,226311,1910
BMW,316,2014,9990,180015,1995
Volvo,XC 90,2008,10100,217756,2400
Renault,Clio,2002,1550,220000,1461
Audi,A6,2004,3550,238775,2496
Mitsubishi,Colt,2004,2350,283557,1499
Opel,Vectra,2002,1550,230000,1995
VW,Bora,2004,2750,234098,1896
Hyundai,i20,2008,3550,178800,1248
Ford,Escort,1997,650,210000,1400
Mitsubishi,Pajero Pinin,2002,3650,210533,1999
Peugeot,307,2006,4500,199027,1997
VW,Golf 4,2002,2750,192000,1900
Opel,Vectra,2008,3710,123000,1910
BMW,525,2004,4650,281132,2498
Peugeot,206,2001,1099,193600,1997
MINI,One,2004,3150,195850,1600
Opel,Astra,2008,2190,187000,1598
VW,Passat,2005,2950,213000,1896
Renault,Clio,2010,4190,112139,1200
Peugeot,407,2009,4299,185000,1997
VW,Golf 4,2002,2550,205000,1900
VW,Touareg,2011,16900,223000,2967
VW,Polo,2012,9500,110000,1390
Renault,Grand Scenic,2012,6450,177000,1598
VW,Passat,2008,9550,199000,1968
VW,Golf 3,1994,1100,180000,1900
MINI,Countryman,2013,9150,109000,1598
Citroen,Jumper,2007,5800,237000,2198
Peugeot,207,2008,3350,133607,1398
Opel,Zafira,2009,4150,186000,1686
Peugeot,407,2008,3850,225000,1997
Fiat,Grande Punto,2015,5490,146000,1248
Ford,Kuga,2012,8900,209000,2000
Mercedes,A 180,2014,10700,213000,1461
Opel,Agila,2008,3500,129000,1242
Opel,Meriva,2008,3299,193000,1598
Nissan,Qashqai,2008,5650,198000,1461
Hyundai,Tucson,2004,3750,192000,1991
Citroen,DS4,2016,11495,89000,1997
Audi,Q5,2009,13650,206000,1986
Opel,Corsa,2002,1499,196000,1199
Renault,Clio,2006,3100,155000,1598
VW,Golf 5,2004,3590,206740,1900
VW,Golf 5,2006,3990,191145,1900
Opel,Astra,2005,3250,175109,1700
VW,Golf 5,2004,3590,171285,1900
Opel,Astra,2005,3350,191206,1700
Peugeot,307,2003,2150,180000,1587
Opel,Astra,2010,5990,141176,1600
Audi,A4,2001,3250,265064,1900
Audi,A4,2002,2990,170432,1900
BMW,520,2016,15480,159684,1995
Daihatsu,Terios,2005,4650,145000,1298
BMW,216 Gran Tourer,2015,10650,161215,1496
Ford,Focus,2015,5980,165853,1499
VW,Polo,2006,2950,157281,1390
Opel,Corsa,2004,2350,186241,1200
Audi,A4,2016,13350,165864,1968
Škoda,Fabia,2009,3490,128085,1200
Volvo,XC 90,2005,5950,129784,2401
Audi,A3,2006,4950,178990,1968
Ford,C Max,2014,6700,121000,1560
Audi,A6,2011,8500,278909,1998
BMW,316,2015,9250,142225,1995
Škoda,Octavia,2008,4490,143346,2000
Citroen,C4,2005,2890,173391,1600
Ford,C Max,2016,6870,156383,1596
VW,Golf 4,2002,2690,181556,1600
Opel,Meriva,2006,2990,166505,1700
Opel,Vectra,2001,1950,142844,1598
Ford,C Max,2008,4450,174417,1560
Renault,Scenic,2003,2590,177543,1600
Opel,Zafira,2001,1990,188954,1600
Fiat,Tipo,2017,8190,143898,1598
Opel,Insignia,2012,6950,137474,1956
Opel,Meriva,2007,3390,165660,1300
VW,Polo,2009,3790,137855,1200
Peugeot,207,2007,2950,177111,1398
Opel,Corsa,2006,3390,127086,1000
Opel,Agila,2005,2790,146671,1300
Audi,A4,2015,12600,154000,1968
Peugeot,207,2008,3590,144703,1400
Hyundai,Santa Fe,2004,3450,230000,1991
Peugeot,206,2005,2350,156280,1400
Škoda,Superb,2014,10650,142387,1968
Peugeot,208,2016,6950,33446,1199
Opel,Vivaro,2005,5950,171236,2463
BMW,216 Gran Tourer,2016,13950,151579,1496
Audi,A3,2006,3950,136440,1968
Fiat,Idea,2007,2690,148143,1400
Opel,Meriva,2004,2790,123850,1600
Citroen,C3,2007,2690,154109,1100
Nissan,X_Trail,2005,4350,146843,2184
Nissan,Qashqai,2008,5650,143552,1461
Opel,Astra,2013,5900,201500,1686
Toyota,RAV4,2003,3950,148213,1995
Kia,Sorento,2005,4450,174544,2497
Fiat,Sedici,2007,4450,163251,1910
Jeep,Patriot,2008,5950,129646,1968
Audi,A3,2006,4850,181897,1968
Opel,Meriva,2014,6950,129909,1686
Alfa Romeo,MiTo,2009,4450,146448,1368
Opel,Astra,2008,3950,168843,1248
Opel,Antara,2010,8450,109071,1991
Audi,A4,2004,3450,207023,1896
BMW,318,2014,14650,147616,1995
Suzuki,Swift,2005,3450,137788,1328
Ford,S_Max,2007,4950,187940,1753
Opel,Antara,2010,8450,148229,1991
Ford,Focus,2009,3950,125015,1999
Opel,Astra,2008,4650,68429,1364
VW,Golf 5,2004,3950,256409,1968
Alfa Romeo,147,2005,2350,119583,1910
Ford,C Max,2010,4950,161431,1560
Peugeot,Partner,2014,6850,132465,1560
VW,Passat,2015,13950,148285,1598
Mazda,3,2011,5950,192397,1560
Opel,Astra,2014,6850,127065,1686
Peugeot,207 CC,2008,4850,163310,1560
Opel,Astra,2007,3650,151730,1910
Opel,Meriva,2007,3350,157489,1686
Renault,Kangoo,2008,3950,208103,1461
Opel,Corsa,2008,3750,185342,1248
VW,Golf plus,2005,4450,200569,1968
Citroen,C8,2003,2950,180334,1997
Audi,A4,2001,1500,179800,1896
Fiat,Croma,2006,2750,218566,1910
VW,Golf plus,2005,4950,148697,1598
VW,Touran,2014,9950,176928,1598
Toyota,Yaris,2007,3650,129878,1364
Renault,Twingo,2009,3850,138876,1461
Toyota,Corolla,2005,3650,143765,1364
Renault,Clio,2009,3950,46234,1149
Citroen,C3,2010,5150,177644,1398
BMW,316,2015,13650,160800,1995
Opel,Meriva,2008,3650,191295,1248
Peugeot,207,2008,2950,123278,1397
BMW,320,2002,2850,228605,1995
Toyota,RAV4,2003,4450,139722,1995
Audi,A4,2007,5450,225002,1968
VW,Passat,2014,11950,101129,1598
BMW,118,2006,4450,150797,1995
Audi,A4,2006,5950,142340,1896
Nissan,Qashqai,2013,8850,135177,1598
Audi,A3,2004,3650,185242,1896
Renault,Laguna,2011,4650,208948,1461
Opel,Combo,2010,2950,164659,1248
VW,Passat,2003,3450,167093,1896
Nissan,Qashqai,2015,14950,113722,1598
Peugeot,308,2015,7950,128900,1560
Nissan,Qashqai,2017,13950,156354,1461
Renault,Grand Scenic,2013,6850,142313,1461
Opel,Zafira,2005,3350,143761,1910
VW,Golf 7,2017,12850,174256,1598
Hyundai,Tucson,2009,6450,89652,1975
Ford,Focus,2009,3850,162739,1560
Ford,Fiesta,2009,3950,146223,1388
Kia,Ceed,2007,3850,141128,1582
Peugeot,5008,2012,5850,145814,1560
Volvo,S40,2002,2650,121420,1783
Peugeot,207,2009,4350,161736,1560
Peugeot,207,2012,5150,129173,1398
Ford,C Max,2005,3250,177110,1997
Renault,Megane,2004,2350,151137,1998
Honda,Civic,2001,2650,106547,1396
Fiat,Doblo,2005,3650,179963,1248
Škoda,Octavia,2005,3650,189545,1896
Renault,Kangoo,2008,3950,132946,1461
Renault,Megane,2004,2450,170264,1870
Renault,Megane,2004,2350,169005,1998
Peugeot,407,2005,3450,168422,1997
Ford,Kuga,2016,18490,7000,1997
VW,Golf 4,2001,2950,185633,1896
VW,Polo,2009,4450,115097,1422
Kia,Carens,2006,2050,115487,1991
Renault,Scenic,2007,2990,187499,1870
Ford,Focus,2008,3950,188937,1560
Toyota,Yaris,2012,6490,120067,1364
Citroen,C3 Pluriel,2004,1950,114092,1398
Renault,Scenic,2007,2990,185361,1995
Citroen,C5,2007,3350,174484,1560
Opel,Zafira,2007,4950,118049,1910
Opel,Zafira,2008,4350,166565,1910
Fiat,Croma,2009,3750,208673,1910
Opel,Meriva,2009,3950,145665,1686
Lada,Niva,2006,1750,142000,1700
Opel,Tigra,2008,4650,95259,1248
Opel,Corsa,2008,3950,188791,1688
Alfa Romeo,147,2006,2050,156462,1910
Citroen,C4,2005,2750,127282,1560
Opel,Corsa,2003,1899,202000,1199
Citroen,C5,2007,2790,189301,1560
Peugeot,308,2008,3590,155430,1598
Mercedes,R 350,2011,18950,151874,2987
Mercedes,A 180,2006,3650,157422,1992
Mazda,3,2011,5190,167524,1560
Peugeot,207,2008,3490,165267,1560
Ford,Mondeo,2005,2650,146510,1998
